하루가 또 가네요.	하루가 또 갔습니다.
제철과일이 정말 좋아요.	제철과일이 정말 좋습니다.
건강 생각해서 챙겨드세요.	건강 생각해서 챙겨드십시오.
그래도 먹으려고 노력해보세요.	그래도 먹으려고 노력해보십시오.
그래도 먹으려고 노력해보세요.	그래도 먹으려고 노력해보십시오.
제철과일이 정말 좋아요.	제철과일이 정말 좋습니다.
인간 관계도 정리가 필요해요.	인간 관계도 정리가 필요합니다.
무관심이 필요할 때가 있죠.	무관심이 필요할 때가 있습니다.
무관심이 필요할 때가 있죠.	무관심이 필요할 때가 있습니다.
계단 조심하세요.	계단 조심하십시오.
계단 조심하세요.	계단 조심하십시오.
채널을 돌려보세요.	채널을 돌려보십시오.
괜찮아지고 있어 다행이에요.	괜찮아지고 있어 다행입니다.
남자사람친구, 여자사람친구 하세요.	남자사람친구, 여자사람친구 하십시오.
많이 지쳤나봐요.	많이 지쳤나 봅니다.
누군가를 기다린다는게 쉬운게 아니죠.	누군가를 기다린다는게 쉬운게 아닙니다.
늦지 않았어요.	늦지 않았습니다.
그 것도 다 경험이라고 생각하세요.	그 것도 다 경험이라고 생각하십시오.
그럴 필요 없어요.	그럴 필요 없습니다.
그렇지 않아요.	그렇지 않습니다.
마음에 드는 책을 잘 찾아보세요.	마음에 드는 책을 잘 찾아보십시오.
저도 듣고 싶어요.	저도 듣고 싶습니다.
같은 조가 되길 바랄게요.	같은 조가 되길 바라겠습니다.
지식 쌓는 재미가 있죠.	지식 쌓는 재미가 있습니다.
같은 조가 되길 바랄게요.	같은 조가 되길 바라겠습니다.
지식 쌓는 재미가 있죠.	지식 쌓는 재미가 있습니다.
저도 듣고 싶어요.	저도 듣고 싶습니다.
학점 관리하세요.	학점 관리하십시오.
보험 처리하세요.	보험 처리하십시오.
보험 처리하세요.	보험 처리하십시오.
왜 그럴까요?	왜 그렇습니까?
좋은 만남이었길 바라요.	좋은 만남이었길 바랍니다.
좋은 만남이었길 바라요.	좋은 만남이었길 바랍니다.
일을 몰라서 그런가봐요.	일을 몰라서 그런가 봅니다.
자신의 삶을 살다보면 기다릴 수 있을 거예요.	자신의 삶을 살다보면 기다릴 수 있을 겁니다.
부담스러워하지 않는다면 기다려도 좋을 것 같아요.	부담스러워하지 않는다면 기다려도 좋을 것 같습니다.
부담스러워하지 않는다면 기다려도 좋을 것 같아요.	부담스러워하지 않는다면 기다려도 좋을 것 같습니다.
너무 걱정하지 마세요.	너무 걱정하지 마십시오.
자신의 삶을 살다보면 기다릴 수 있을 거예요.	자신의 삶을 살다보면 기다릴 수 있을 겁니다.
군대 시계는 멈추지 않아요.	군대 시계는 멈추지 않습니다.
군대 시계는 멈추지 않아요.	군대 시계는 멈추지 않습니다.
좋은 아침이에요.	좋은 아침입니다.
안 궁금해요.	안 궁금합니다.
안 궁금해요.	안 궁금합니다.
자세히 말씀해주세요.	자세히 말씀해주십시오.
자세히 말씀해주세요.	자세히 말씀해주십시오.
병원에 가세요.	병원에 가십시오.
누가 욕하고 있나봐요.	누가 욕하고 있나 봅니다.
누가 욕하고 있나봐요.	누가 욕하고 있나 봅니다.
병원에 가세요.	병원에 가십시오.
생각하기는 쉬운데 실천하기는 어려운 것 같아요.	생각하기는 쉬운데 실천하기는 어려운 것 같습니다.
슬픈 이야기네요.	슬픈 이야기입니다.
저도 간절히 기도 할게요.	저도 간절히 기도 하겠습니다.
그렇게 될 수 있을 거예요.	그렇게 될 수 있을 겁니다.
추억에 잠길 때도 필요해요.	추억에 잠길 때도 필요합니다.
후회는 후회를 낳을뿐이에요. 용기 내세요.	후회는 후회를 낳을뿐입니다. 용기 내십시오.
시작이 반이에요. 어서 준비하세요.	시작이 반입니다. 어서 준비하십시오.
아무도 없는 곳으로 여행을 떠나보세요.	아무도 없는 곳으로 여행을 떠나보십시오.
많이 만나보세요.	많이 만나보십시오.
잠깐 바람 쐬고 오세요.	잠깐 바람 쐬고 오십시오.
다른 사람이 답답할 거예요.	다른 사람이 답답할 겁니다.
살고 싶은대로 사세요.	살고 싶은대로 사십시오.
많이 피곤한가봐요.	많이 피곤한가 봅니다.
피할 수 있으면 피하세요.	피할 수 있으면 피하십시오.
조심히 오세요.	조심히 오십시오.
실천이 말보다 낫죠.	실천이 말보다 낫습니다.
밥심으로 사는 거죠.	밥심으로 사는 겁니다.
혼자만 있지 마세요.	혼자만 있지 마십시오.
안부를 물어주시다니 감사합니다.	안부를 물어주시다니 감사합니다.
추억에 잠길 때도 필요해요.	추억에 잠길 때도 필요합니다.
괜찮은 선택이길 바라요.	괜찮은 선택이길 바랍니다.
좋은 결과 있을 거예요.	좋은 결과 있을 겁니다.
기쁜 마음으로 베풀고 보답을 바라지 마세요.	기쁜 마음으로 베풀고 보답을 바라지 마십시오.
다른 사람 말은 신경쓰지 마세요.	다른 사람 말은 신경쓰지 마십시오.
대인배시군요.	대인배신 것 같습니다.
대인배시군요.	대인배신 것 같습니다.
친구가 좋아하나봐요.	친구가 좋아하나 봅니다.
이야기를 해보세요.	이야기를 해보십시오.
온전한 이해는 없어요.	온전한 이해는 없습니다.
괜찮은 선택이길 바라요.	괜찮은 선택이길 바랍니다.
학원을 다니거나 연습하면 잘할 수 있을 거예요.	학원을 다니거나 연습하면 잘할 수 있을 겁니다.
학원을 다니거나 연습하면 잘할 수 있을 거예요.	학원을 다니거나 연습하면 잘할 수 있을 겁니다.
뒷감당 자신 있으면 하세요.	뒷감당 자신 있으면 하십시오.
조금만 드세요	조금만 드십시오.
당신을 소중하게 생각하세요.	당신을 소중하게 생각하십시오.
그런 하루도 감사한 마음을 가져보세요.	그런 하루도 감사한 마음을 가져보십시오.
좋은 사람과 함께 가세요.	좋은 사람과 함께 가십시오.
저 말씀이신가요?	저 말씀이십니까?
비싸요.	비쌉니다.
비싸요.	비쌉니다.
호의인지 호감인지 헷갈리나요?	호의인지 호감인지 헷갈리십니까?
뭔가 안풀리는 일이 있나봐요.	뭔가 안풀리는 일이 있나 봅니다.
아이를 금수저로 만들어주세요.	아이를 금수저로 만들어주십시오.
아이를 금수저로 만들어주세요.	아이를 금수저로 만들어주십시오.
자신을 이겨야해요.	자신을 이겨야합니다.
너무 긴장했나봐요.	너무 긴장했나 봅니다.
기념일 챙겨주면 좋아할거예요.	기념일 챙겨주면 좋아할겁니다.
달력에 적어보세요.	달력에 적어보십시오.
달력에 적어보세요.	달력에 적어보십시오.
기념일 챙겨주면 좋아할거예요.	기념일 챙겨주면 좋아할겁니다.
당신의 삶을 응원해 드릴 수 있어요라고 감히 말해 봅니다.	당신의 삶을 응원해 드릴 수 있어요라고 감히 말해 봅니다.
기다리지 마세요.	기다리지 마십시오.
상대방의 선택에 맡겨보세요.	상대방의 선택에 맡겨보십시오.
좋은 분이시군요	좋은 분이신 것 같습니다.
베풀되 보답을 바라지 마세요.	베풀되 보답을 바라지 마십시오.
자신을 사랑할수록 외부의 인정은 필요 없어요.	자신을 사랑할수록 외부의 인정은 필요 없습니다.
상대에게 바라는 기대는 자신을 슬프게 해요.	상대에게 바라는 기대는 자신을 슬프게 합니다.
베풀되 보답을 바라지 마세요.	베풀되 보답을 바라지 마십시오.
기쁜 마음으로 베풀고 보답을 바라지 마세요.	기쁜 마음으로 베풀고 보답을 바라지 마십시오.
의지할 수 있는 사람이 곁에 있다는 건 큰 행운일 거예요.	의지할 수 있는 사람이 곁에 있다는 건 큰 행운일 겁니다.
자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.	자신의 감정을 주변 사람들에게 터놓고 이야기해보십시오.
대중교통을 이용해주세요.	대중교통을 이용해주십시오.
각자가 생각하는 기본이 다를 수도 있어요.	각자가 생각하는 기본이 다를 수도 있습니다.
각자가 생각하는 기본이 다를 수도 있어요.	각자가 생각하는 기본이 다를 수도 있습니다.
좋은 일 하셨네요.	좋은 일 하셨습니다.
좋은 일 하셨네요.	좋은 일 하셨습니다.
내일은 오늘보다 나을 거예요.	내일은 오늘보다 나을 겁니다.
정색 한번 해주세요.	정색 한번 해주십시오.
걷다보면 조금 정리가 될 거예요.	걷다보면 조금 정리가 될 겁니다.
저랑 함께 해요.	저랑 함께 합니다.
저랑 함께 해요.	저랑 함께 합니다.
신나는 음악 들어보세요.	신나는 음악 들어보십시오.
경쾌한 음악 들어보세요.	경쾌한 음악 들어보십시오.
왜일까요?	왜 그러십니까?
무슨 이유인지 생각해보세요.	무슨 이유인지 생각해보십시오.
혼자 사는 것보다 불편하겠죠.	혼자 사는 것보다 불편할 겁니다.
다음 학기에는 학점 관리를 더 열심히 해봐요.	다음 학기에는 학점 관리를 더 열심히 해 봅니다.
혼자 사는 것보다 불편하겠죠.	혼자 사는 것보다 불편할 겁니다.
혼자 사는 것보다 불편하겠죠.	혼자 사는 것보다 불편할 겁니다.
다음 학기에는 학점 관리를 더 열심히 해봐요.	다음 학기에는 학점 관리를 더 열심히 해 봅니다.
기술을 많이 알면 도움이 되겠죠.	기술을 많이 알면 도움이 될 것 같습니다.
꿈꾸던 여행이네요.	꿈꾸던 여행입니다.
꿈꾸던 여행이네요.	꿈꾸던 여행입니다.
답답한 상황이네요.	답답한 상황입니다.
답답한 상황이네요.	답답한 상황입니다.
좋겠어요!	좋으시겠습니다!
직접 주는 게 더 좋을 것 같아요.	직접 주는 게 더 좋을 것 같습니다.
직접 주는 게 더 좋을 것 같아요.	직접 주는 게 더 좋을 것 같습니다.
직접 주는 게 더 좋을 것 같아요.	직접 주는 게 더 좋을 것 같습니다.
좋겠네요.	좋겠습니다.
직접 주는 게 더 좋을 것 같아요.	직접 주는 게 더 좋을 것 같습니다.
더 좋은 기회가 올 거예요.	더 좋은 기회가 올 겁니다.
더 좋은 기회가 올 거예요.	더 좋은 기회가 올 겁니다.
연예인을 준비하니 일반인보다 다 예쁘겠죠.	연예인을 준비하니 일반인보다 다 예쁠 겁니다.
연예인을 준비하니 일반인보다 다 예쁘겠죠.	연예인을 준비하니 일반인보다 다 예쁠 겁니다.
그래서 저는 못 기르고 잘라요.	그래서 저는 못 기르고 자릅니다.
그래서 저는 못 기르고 잘라요.	그래서 저는 못 기르고 자릅니다.
괜찮아지고 있어 다행이에요.	괜찮아지고 있어 다행입니다.
크게 숨한 번 쉬어 보세요	크게 숨한 번 쉬어 보십시오.
크게 숨한 번 쉬어 보세요	크게 숨한 번 쉬어 보십시오.
미리 긴장하지 마세요.	미리 긴장하지 마십시오.
마음에 들면 줘보세요.	마음에 들면 줘보십시오.
저도 싫어요.	저도 싫습니다.
잘 해보세요.	잘 해보십시오.
마음에 들면 줘보세요.	마음에 들면 줘보십시오.
잘 해보세요.	잘 해보십시오.
그래도 넘을 수 있을 거예요.	그래도 넘을 수 있을 겁니다.
조심하세요.	조심하십시오.
너무 낙담하지 마세요.	너무 낙담하지 마십시오.
조심하세요.	조심하십시오.
미끄러우니 조심하세요.	미끄러우니 조심하십시오.
건강을 위해 조금씩 드세요.	건강을 위해 조금씩 드십시오.
마트 갑시다.	마트 갑시다.
맛있는 식사시간 되시길 바랄게요.	맛있는 식사시간 되시길 바라겠습니다.
